Count,Date,Time,Lat,Long,Speed,Altitude,GSR
177,25/5/2018,15:02:35,51.525761,-0.13079,4.87,30.5,566
178,25/5/2018,15:02:36,51.525753,-0.130778,5.17,30.5,565
179,25/5/2018,15:02:37,51.525742,-0.130766,5.63,30.5,564
180,25/5/2018,15:02:38,51.52573,-0.13076,5.06,30.5,565
181,25/5/2018,15:02:39,51.525723,-0.130747,4.07,30.5,566
182,25/5/2018,15:02:39,51.525723,-0.130747,4.07,29.9,566
183,25/5/2018,15:02:40,51.525715,-0.130735,4.52,29.9,562
184,25/5/2018,15:02:41,51.525711,-0.130722,3.94,29.9,565
185,25/5/2018,15:02:41,51.525711,-0.130722,3.94,29.5,565
186,25/5/2018,15:02:42,51.5257,-0.130711,4.91,29.5,564
187,25/5/2018,15:02:43,51.525696,-0.130697,4.78,29.5,565
188,25/5/2018,15:02:44,51.525684,-0.130687,4.67,29.5,565
189,25/5/2018,15:02:45,51.525677,-0.130675,4.54,29.5,565
190,25/5/2018,15:02:46,51.525665,-0.130665,5.52,29.5,565
191,25/5/2018,15:02:46,51.525665,-0.130665,5.52,29.7,566
192,25/5/2018,15:02:47,51.525658,-0.130649,4.67,29.7,565
193,25/5/2018,15:02:48,51.52565,-0.130638,3.63,29.7,569
194,25/5/2018,15:02:48,51.52565,-0.130638,3.63,29.9,568
195,25/5/2018,15:02:49,51.525646,-0.130621,4.56,29.9,566
196,25/5/2018,15:02:50,51.525646,-0.130602,5.74,29.9,567
197,25/5/2018,15:02:50,51.525646,-0.130602,5.74,30.6,567
198,25/5/2018,15:02:51,51.525642,-0.130582,4.59,30.6,566
199,25/5/2018,15:02:52,51.52565,-0.130556,6.33,30.6,569
200,25/5/2018,15:02:52,51.52565,-0.130556,6.33,32,569
201,25/5/2018,15:02:53,51.525654,-0.130535,4.91,32,566
202,25/5/2018,15:02:54,51.525658,-0.130515,4.46,32,568
203,25/5/2018,15:02:54,51.525658,-0.130515,4.46,32.9,568
204,25/5/2018,15:02:55,51.525661,-0.130495,3.98,32.9,567
205,25/5/2018,15:02:56,51.525665,-0.130475,5.07,32.9,568
206,25/5/2018,15:02:57,51.525665,-0.130457,3.8,32.9,566
207,25/5/2018,15:02:58,51.525661,-0.130442,4.24,32.9,566
208,25/5/2018,15:02:59,51.525658,-0.130424,5.41,32.9,569
209,25/5/2018,15:02:59,51.525658,-0.130424,5.41,36.8,569
210,25/5/2018,15:03:00,51.525639,-0.130419,5.83,36.8,566
211,25/5/2018,15:03:01,51.525635,-0.130414,2.69,36.8,569
212,25/5/2018,15:03:01,51.525635,-0.130414,2.69,38.9,567
213,25/5/2018,15:03:02,51.525639,-0.130394,3.74,38.9,567
214,25/5/2018,15:03:03,51.525639,-0.13038,4.24,38.9,569
215,25/5/2018,15:03:04,51.525639,-0.130366,4.32,38.9,570
216,25/5/2018,15:03:05,51.525631,-0.130349,5.06,38.9,571
217,25/5/2018,15:03:06,51.525623,-0.130338,3.91,38.9,572
218,25/5/2018,15:03:06,51.525623,-0.130338,3.91,44.7,569
